51 ST,"({'lat': 40.7632683, 'lng': -73.9864745}, 'W 51st St, New York, NY, USA')"
CROWN HTS-UTICA,"({'lat': 40.6689469, 'lng': -73.93183379999999}, 'Utica Avenue Subway Station, Brooklyn, NY 11213, USA')"
GROVE STREET,"({'lat': 40.7196062, 'lng': -74.0426387}, 'Grove Street Path Trains, Jersey City, NJ 07302, USA')"
49 ST,"({'lat': 40.7598372, 'lng': -73.9841825}, '49 Street, New York, NY 10036, USA')"
DELANCEY/ESSEX,"({'lat': 40.7185592, 'lng': -73.9881894}, 'Delancey St-Essex St, New York, NY 10002, USA')"
EXCHANGE PLACE,"({'lat': 40.7161048, 'lng': -74.0330907}, 'Exchange Place, Jersey City, NJ 07302, USA')"
66 ST-LINCOLN,"({'lat': 40.7736972, 'lng': -73.9822288}, '66 St - Lincoln Center Subway Station, New York, NY 10023, USA')"
86 ST-2 AVE,"({'lat': 40.7778826, 'lng': -73.95178}, '2nd Ave & East 86th St, New York, NY 10028, USA')"
DEKALB AV,"({'lat': 40.7043202, 'lng': -73.9192588}, 'DeKalb Av, Brooklyn, NY 11237, USA')"
THIRTY THIRD ST,"({'lat': 40.662283, 'lng': -74.1179499}, '28 E 22nd St, Bayonne, NJ 07002, USA')"
SUTPHIN-ARCHER,"({'lat': 40.7005728, 'lng': -73.8077071}, 'Sutphin Blvd-Archer Av-JFK Station, Queens, NY 11435, USA')"
68ST-HUNTER CO,"({'lat': 40.76667920000001, 'lng': -73.9612356}, 'E 68th St, New York, NY, USA')"
CITY / BUS,"({'lat': 37.0359638, 'lng': -95.63460560000001}, '1201 W 8th St, Coffeyville, KS 67337, USA')"
1 AV,"({'lat': 40.763368, 'lng': -73.95924}, '1st Avenue, New York, NY, USA')"
181 ST,"({'lat': 40.84913, 'lng': -73.93372889999999}, '181 Street Station, New York, NY 10033, USA')"
WOODHAVEN BLVD,"({'lat': 40.7333477, 'lng': -73.8704271}, 'Woodhaven Blvd, Queens, NY 11373, USA')"
168 ST,"({'lat': 40.8408407, 'lng': -73.9396297}, '168 Street Station, New York, NY 10032, USA')"
BROOKLYN BRIDGE,"({'lat': 40.7060855, 'lng': -73.9968643}, 'Brooklyn Bridge, Brooklyn Bridge, New York, NY 10038, USA')"
SPRING ST,"({'lat': 40.7245656, 'lng': -74.0019192}, 'Spring St, New York, NY, USA')"
LEXINGTON AV/63,"({'lat': 40.764629, 'lng': -73.96611299999999}, 'Lexington Av/63 St, New York, NY 10065, USA')"
